subject,subject_gender,verb,object,object_gender
"

    ",neutral,stop,nothing,neutral_intransitive
cubs,neutral,make,good meal,neutral
there,neutral,be,high risks,neutral
risks,neutral,"taking, on",grizzly,neutral
when,neutral,talk,nothing,neutral_intransitive
who,neutral,listen,nothing,neutral_intransitive
friend,neutral,listen,nothing,neutral_intransitive
have,neutral,"take, on",whole new meaning,neutral
 ,neutral,"take, on",whole new meaning,neutral
words,neutral,"take, on",whole new meaning,neutral
was,neutral,felt,nothing,neutral_intransitive
doctor,neutral,say,nothing,neutral_intransitive
it,neutral,be,year,neutral
anyone,neutral,appreciate,nothing,neutral_intransitive
so,neutral,fell,nothing,neutral_intransitive
to,neutral,form,perfect cone,neutral
who,neutral,watch,nothing,neutral_intransitive
then,neutral,"showed, up",nothing,neutral_intransitive
he,male,tell,her,female
that,neutral,have,it,neutral
she,female,have,it,neutral
step,neutral,be,most important,neutral
he,male,move,nothing,neutral_intransitive
head,neutral,throb,nothing,neutral_intransitive
he,male,decide,nothing,neutral_intransitive
as,neutral,be,disgusting display,neutral
it,neutral,be,disgusting display,neutral
it,neutral,come,nothing,neutral_intransitive
that,neutral,realize,nothing,neutral_intransitive
hope,neutral,change,him,male
it,neutral,matter,nothing,neutral_intransitive
make,neutral,be,nothing,neutral_intransitive
to,neutral,make,work,neutral
to,neutral,let,nothing,neutral_intransitive
me,neutral,take,care,neutral
for,neutral,take,care,neutral
you,neutral,take,care,neutral
to,neutral,take,care,neutral
i,neutral,'m,nothing,neutral_intransitive
it,neutral,mean,end,neutral
also,neutral,mean,end,neutral
to,neutral,ignore,haters,neutral
it,neutral,go,nothing,neutral_intransitive
he,male,realize,nothing,neutral_intransitive
when,neutral,"came, up",nothing,neutral_intransitive
where,neutral,get,random paragraph,neutral
they,neutral,get,random paragraph,neutral
he,male,wonder,nothing,neutral_intransitive
as,neutral,click,generate button,neutral
he,male,click,generate button,neutral
they,neutral,write,random paragraph,neutral
just,neutral,write,random paragraph,neutral
they,neutral,get,it,neutral
at,neutral,read,random paragraph,neutral
he,male,read,random paragraph,neutral
never,neutral,!be,same,neutral
they,neutral,argue,nothing,neutral_intransitive
to,neutral,be,nothing,neutral_intransitive
they,neutral,know,it,neutral
to,neutral,address,underlying issue,neutral
to,neutral,argue,nothing,neutral_intransitive
i,neutral,notice,nothing,neutral_intransitive
dave,neutral,find,joy,neutral
he,male,awake,nothing,neutral_intransitive
 ,neutral,eat,same breakfast,neutral
he,male,get,nothing,neutral_intransitive
when,neutral,'re,nothing,neutral_intransitive
to,neutral,get,someplace,neutral
where,neutral,mean,life,neutral
seconds,neutral,mean,life,neutral
she,female,race,nothing,neutral_intransitive
when,neutral,come,nothing,neutral_intransitive
she,female,peer,nothing,neutral_intransitive
to,neutral,build,nothing,neutral_intransitive
to,neutral,happen,nothing,neutral_intransitive
person,neutral,notice,nothing,neutral_intransitive
why,neutral,seem,so unbelievable ultimately change,neutral
it,neutral,seem,so unbelievable ultimately change,neutral
that,neutral,change,course,neutral
gesture,neutral,change,course,neutral
ultimately,neutral,change,course,neutral
she,female,ask,question,neutral
even,neutral,!want,answer,neutral
though,neutral,!want,answer,neutral
she,female,!want,answer,neutral
n't,neutral,!want,answer,neutral
really,neutral,!want,answer,neutral
to,neutral,hear,answer,neutral
since,neutral,know,nothing,neutral_intransitive
if,neutral,tell,truth,neutral
he,male,tell,truth,neutral
told,neutral,get,confirmation,neutral
 ,neutral,get,confirmation,neutral
she,female,get,confirmation,neutral
who,neutral,think,nothing,neutral_intransitive
yet,neutral,ask,question,neutral
she,female,ask,question,neutral
that,neutral,begin,nothing,neutral_intransitive
events,neutral,do,that,neutral
events,neutral,do,to,neutral
he,male,run,nothing,neutral_intransitive
events,neutral,have,lead,neutral
it,neutral,!make,sense,neutral
still,neutral,!make,sense,neutral
n't,neutral,!make,sense,neutral
to,neutral,try,nothing,neutral_intransitive
he,male,have,higher priorities,neutral
for,neutral,"get, down",nothing,neutral_intransitive
if,neutral,get,nothing,neutral_intransitive
to,neutral,think,nothing,neutral_intransitive
"""",neutral,want,him,male
need,neutral,want,him,male
 ,neutral,want,him,male
"""",neutral,want,him,male
she,female,want,him,male
to,neutral,tell,him,male
"""",neutral,hold,you,neutral
friends,neutral,hold,you,neutral
he,male,have,nothing,neutral_intransitive
even,neutral,mean,life,neutral
if,neutral,mean,life,neutral
but,neutral,"!give, up",them,neutral
she,female,"!give, up",them,neutral
meant,neutral,"!give, up",them,neutral
 ,neutral,"!give, up",them,neutral
he,male,"!give, up",them,neutral
never,neutral,"!give, up",them,neutral
he,male,wonder,nothing,neutral_intransitive
if,neutral,disclose,truth,neutral
he,male,disclose,truth,neutral
it,neutral,be,risky move,neutral
if,neutral,stay,nothing,neutral_intransitive
truth,neutral,fracture,group,neutral
group,neutral,leave,everything,neutral
than,neutral,!tell,truth,neutral
it,neutral,!tell,truth,neutral
not,neutral,!tell,truth,neutral
to,neutral,go,nothing,neutral_intransitive
hopes,neutral,"crashing, down",nothing,neutral_intransitive
he,male,hear,loud impact,neutral
before,neutral,saw,result,neutral
he,male,saw,result,neutral
ever,neutral,saw,result,neutral
as,neutral,recover,nothing,neutral_intransitive
soon,neutral,saw,crack,neutral
 ,neutral,saw,crack,neutral
he,male,saw,crack,neutral
it,neutral,seem,analogy,neutral
to,neutral,be,analogy,neutral
it,neutral,be,nothing,neutral_intransitive
to,neutral,generate,nothing,neutral_intransitive
oppression,neutral,fill,her whole,neutral
mist,neutral,pass,nothing,neutral_intransitive
she,female,have,good cry,neutral
just,neutral,have,good cry,neutral
arms,neutral,nip,nothing,neutral_intransitive
wharf,neutral,belong,nothing,neutral_intransitive
lane,neutral,run,nothing,neutral_intransitive
to,neutral,lead,nothing,neutral_intransitive
to,neutral,use,my will,neutral
to,neutral,use,tendency,neutral
to,neutral,use,good sense,neutral
to,neutral,check,tendency,neutral
so,neutral,try,nothing,neutral_intransitive
who,neutral,be,nothing,neutral_intransitive
to,neutral,become,teen,neutral
it,neutral,hit,her all,neutral
she,female,stand,nothing,neutral_intransitive
