subject,subject_gender,verb,object,object_gender
We,neutral,drive,nothing,neutral_intransitive
possibly,neutral,do,short hike,neutral
Then,neutral,spend,nothing,neutral_intransitive
before,neutral,head,nothing,neutral_intransitive
They,neutral,argue,nothing,neutral_intransitive
to,neutral,be,nothing,neutral_intransitive
neutral,neutral,done,when,neutral
issue,neutral,underlying,nothing,neutral_intransitive
to,neutral,argue,nothing,neutral_intransitive
to,neutral,ignore,haters,neutral
it,neutral,go,nothing,neutral_intransitive
he,male,realized,nothing,neutral_intransitive
when,neutral,came,nothing,neutral_intransitive
neutral,neutral,become,It,neutral
neutral,neutral,needed,when,neutral
where,neutral,be,nothing,neutral_intransitive
as,neutral,turns,nothing,neutral_intransitive
turns,neutral,charges,dollar full dollar,neutral
",",neutral,charges,dollar full dollar,neutral
candy,neutral,charges,dollar full dollar,neutral
now,neutral,charges,dollar full dollar,neutral
i,neutral,bought,lollipops,neutral
i,neutral,bought,caramel almond things,neutral
's,neutral,be,nothing,neutral_intransitive
myself,neutral,wandering,nothing,neutral_intransitive
neutral,neutral,needed,as,neutral
they,neutral,pop,nothing,neutral_intransitive
they,neutral,serve,variety,neutral
what,neutral,do,nothing,neutral_intransitive
lucy,neutral,eats,tasty black bread,neutral
woman,female,wears,shiny black glasses,neutral
man,male,drinks,water,neutral
he,male,admires,vulnerable strong women,neutral
girl,female,picks,cup,neutral
